Длинна волны	% отражённого света																																	Итоговое полглощение 
354	99,928199																														19,62061			
353	99,907615																														19,415897			
352	99,98117																														19,194264			
351	99,852131																														18,889482			
350	99,745012																														18,727564			
349	99,974369																														18,527204			
348	99,88973																														18,319652			
347	99,867378																														18,087041			
346	99,632652																														17,850704			
345	100,049672																														17,706241			
344	99,810055																														17,461161			
343	99,847431																														17,18643			
342	99,883052																														17,063294			
341	99,677032																														16,831048			
340	99,787737																														16,653871			
339	100,38826																														16,408992			
338	100,101056																														16,178959			
337	99,941008																														15,921908			
336	99,815515																														15,713388			
335	99,948479																														15,546794			
334	99,865441																														15,276713			
333	100,092591																														15,095421			
332	100,039735																														14,847757			
331	99,941422																														14,617392			
330	99,566426																														14,376043			
329	99,800022																														14,125991			
328	100,10668																														13,921192			
327	100,093675																														13,623659			
326	99,731572																														13,455098			
325	100,204576																														13,398253			
324	99,78238																														12,864503			
323	99,531126																														12,71584			
322	100,300305																														12,58255			
321	100,402265																														12,342192			
320	100,229609																														12,014061			
319	99,570907																														11,833152			
318	99,986935																														11,554444			
317	100,154736																														11,275656			
316	99,652601																														10,99237			
315	100,191458																														10,823086			
314	99,948875																														10,533636			
313	99,920103																														10,343541			
312	99,588034																														10,08192			
311	99,817032																														9,881435			
310	100,012042																														9,630402			
309	99,838138																														9,473633			
308	99,503573																														9,265308			
307	100,119484																														9,067979			
306	99,809741																														8,789457			
305	99,671273																														8,531819			
304	99,866084																														8,372175			
303	99,949609																														8,219778			
302	100,199159																														7,971944			
301	99,936623																														7,828819			
300	99,868716																														7,569615			
299	99,535973																														7,380432			
298	99,998071																														7,279108			
297	99,65881																														6,996639			
296	99,74922																														6,738603			
295	99,848222																														6,667775			
294	99,927432																														6,446898			
293	99,77889																														6,274999			
292	99,741433																														6,097342			
291	99,813714																														5,925351			
290	99,920694																														5,803128			
289	99,839812																														5,645684			
288	100,161881																														5,533756			
287	99,773517																														5,311864			
286	99,936005																														5,17483			
285	99,768259																														4,914113			
284	99,99125																														4,845413			
283	99,999355																														4,794283			
282	99,893353																														4,543966			
281	99,94074																														4,459133			
280	100,2098																														4,408105			
279	99,98847																														4,235694			
278	100,242349																														4,104794			
277	99,896235																														3,961416			
276	99,890829																														3,911204			
275	99,97015																														3,797005			
274	99,988052																														3,713038			
273	100,117977																														3,631209			
272	99,705643																														3,522717			
271	99,944002																														3,399677			
270	99,853111																														3,318179			
269	99,484961																														3,18954			
268	99,659471																														3,132886			
267	100,121758																														3,029976			
266	99,909247																														3,014078			
265	99,674479																														2,93232			
264	100,184954																														2,914565			
263	100,047608																														2,875437			
262	99,748467																														2,724877			
261	100,139966																														2,795922			
260	99,622711																														2,684549			
259	99,946685																														2,666684			
258	99,841563																														2,622113			
257	100,013003																														2,558087			
256	100,045849																														2,417177			
255	99,810957																														2,49763			
254	99,975279																														2,441204			
253	100,088164																														2,440697			
252	100,007535																														2,355561			
251	99,804875																														2,329687			
250	99,604455																														2,289057			
249	99,761971																														2,294515			
248	99,619886																														2,196879			
247	99,64404																														2,176561			
246	99,721315																														2,118183			
245	99,846378																														2,100885			
244	99,81557																														2,106681			
